Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount
Worms Ultimate Mayhem - Multiplayer Pack DLC,['win'],-75%,$2.99,$0.74,81%,11
Worms Ultimate Mayhem - Customization Pack DLC,['win'],-75%,$2.99,$0.74,80%,10
Lucius,['win'],-80%,$9.99,$1.99,79%,4508
Darksiders Warmastered Edition,['win'],,								$19.99,								$19.99,84%,4064
Ecchi Cards,['win'/ 'mac'/ 'lin'],-90%,$4.99,$0.49,46%,26
Crime Girl,['win'/ 'mac'/ 'lin'],-80%,$9.99,$1.99,0%,0
Worms Reloaded: Forts Pack,['win'],-75%,$4.99,$1.24,0%,0
Worms Reloaded: Time Attack Pack,['win'],-75%,$4.99,$1.24,0%,0
Worms Reloaded: Retro Pack,['win'],-75%,$4.99,$1.24,0%,0
Worms Reloaded: The "Pre-order Forts and Hats" DLC Pack,['win'/ 'mac'],-75%,$1.99,$0.49,0%,0
Memoria,['win'/ 'mac'],-90%,$34.99,$3.49,90%,1169
The Night of the Rabbit,['win'/ 'mac'],-90%,$19.99,$1.99,90%,1387
Gray Cat,['win'],-87%,$3.99,$0.51,95%,20
Edna & Harvey: Harvey's New Eyes,['win'/ 'mac'/ 'lin'],-90%,$19.99,$1.99,91%,1324
Deponia,['win'/ 'mac'/ 'lin'],-90%,$9.99,$0.99,89%,5897
The Dark Eye: Chains of Satinav,['win'/ 'mac'],-90%,$34.99,$3.49,86%,1095
Steam Controller,['win'/ 'mac'/ 'lin'],,								$49.99,								$49.99,73%,7448
Diabolic,['win'],-87%,$3.99,$0.51,96%,27
Worms Reloaded: Puzzle Pack,['win'],-75%,$4.99,$1.24,0%,0
Rocket League® - DC Super Heroes DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,82%,336
Star Trek™: Bridge Crew – The Next Generation,['win'],-60%,$14.99,$5.99,79%,24
Fragmented,['win'],-86%,$9.99,$1.39,43%,1342
Fitzzle Cute Kittens,['win'],-80%,$2.99,$0.59,0%,0
Roman The Worm,['win'/ 'mac'/ 'lin'],-75%,$1.99,$0.49,0%,0
Fitzzle Wise Owls,['win'],-80%,$2.99,$0.59,0%,0
Blackguards,['win'],-90%,$34.99,$3.49,63%,1934
Fitzzle Regal Tigers,['win'],-80%,$2.99,$0.59,0%,0
Order No. 227: Not one step back!,['win'],-83%,$4.99,$0.84,54%,33
Dead Ground,['win'/ 'lin'],-90%,$4.99,$0.49,56%,23
Queen of Seas 2,['win'/ 'lin'],-80%,$5.99,$1.19,00%,12
web spice,['win'],-75%,$1.99,$0.49,0%,0
Worms Revolution - Customization Pack,['win'],-75%,$4.99,$1.24,0%,0
Trivia Vault: Mixed Trivia 2,['win'],-90%,$4.99,$0.49,78%,14
