Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Survival Zombies Promo Edition,['win'/ 'mac'/ 'lin'],,$19.95 ,$1.75 ,54%,1433,,
The Whispered World Complete Pack,['win'/ 'mac'/ 'lin'],,$45.96 ,$18.44 ,79%,1362,,
Rocket League® – Fast & Furious™ DLC Bundle,['win'/ 'mac'/ 'lin'],-83%,$4.99 ,$2.49 ,89%,1351,,
Rocket League® - Back to the Future™ Car Pack,['win'/ 'mac'/ 'lin'],-80%,$1.99 ,$0.99 ,92%,1320,,
Edna & Harvey: Harvey's New Eyes,['win'/ 'mac'/ 'lin'],,$29.99 ,$8.99 ,91%,1304,,
The Almighty Bundle,['win'],-30%,$9.97 ,$5.07 ,88%,1292,,
Heroine Bundle,['win'],-15%,$75.95 ,$65.43 ,86%,1285,,
Faerie Solitaire,['win'/ 'mac'],-90%,$9.99 ,$0.99 ,90%,1232,,
INDIECN Value Bundle,['win'],-51%,$44.93 ,$21.03 ,81%,1164,,
Tharsis,['win'/ 'mac'],,$14.99 ,$4.94 ,70%,1148,,
Chaos on Deponia,['win'/ 'mac'/ 'lin'],-84%,$29.99 ,$8.99 ,91%,1129,,
Trackmania® Turbo,['win'/ 'hmd'/ 'htc'/ 'ocu'],,$39.99 ,$19.99 ,61%,1082,,
Cars Drive Explore,['win'],-49%,,,82%,1065,,
Gomo,['win'/ 'mac'],-84%,$4.99 ,$0.49 ,74%,969,,
TrackMania² Canyon,['win'],-90%,$19.99 ,$9.99 ,79%,950,,
The Game Creators Collection,['win'],-50%,$239.92 ,$68.00 ,75%,920,,
Civilization VI - Vikings Scenario Pack,['win'/ 'mac'/ 'lin'],-50%,$4.99 ,$3.34 ,11%,902,,
AppGameKit VR Bundle,['win'],-30%,$174.95 ,$47.60 ,75%,887,,
Kou Shibusawa Archives Vol.6-11 / シブサワ・コウ アーカイブスパック Vol.6-11,['win'],-40%,$404.82 ,$198.27 ,80%,885,,
SC Jogos Collection,['win'],-30%,$16.83 ,$3.10 ,59%,884,,
A New Beginning - Final Cut,['win'/ 'mac'],-75%,$9.99 ,$0.99 ,74%,858,,
VEGAS Movie Studio 13 Platinum - Steam Powered,['win'],-20%,$44.99 ,$17.99 ,73%,856,,
SC Jogos Collection - Games,['win'],-48%,$6.93 ,$1.30 ,59%,854,,
Blender Games Bundle for gifts,['win'],,,,78%,837,,
Blender Games Bundle,['win'],-20%,,,78%,837,,
RewindApp All Games,['win'],-30%,$31.78 ,$18.38 ,68%,820,,
LOVE & kuso Bundle,['win'/ 'mac'],-30%,$7.98 ,$5.61 ,93%,806,,
GameGuru Unlimited,['win'],,$264.90 ,$89.20 ,74%,797,,
Trackmania United Forever Star Edition,['win'],-90%,$29.99 ,$14.99 ,94%,792,,
GameGuru SciFi Bundle,['win'],,$34.99 ,$17.49 ,74%,768,,
GameGuru,['win'],-57%,$34.99 ,$17.49 ,73%,749,,
Rocket League® – Fast & Furious™ '99 Nissan Skyline GT-R R34,['win'/ 'mac'/ 'lin'],-10%,$1.99 ,$0.99 ,90%,745,,
aMAZE Bundle,['win'],,,,79%,743,,
aMAZE Bundle for gifts,['win'],-30%,,,79%,743,,
Indiana Jones Collection,['win'],,$23.96 ,$15.49 ,92%,736,,
Arcade Bundle II,['win'],-10%,$10.97 ,$4.72 ,90%,730,,
1954 Alcatraz,['win'],,$9.99 ,$0.99 ,70%,725,,
The Whispered World Special Edition,['win'/ 'mac'/ 'lin'],-85%,$19.99 ,$1.99 ,73%,722,,
The Messenger,['win'],-30%,$19.99 ,$13.99 ,94%,705,,
Civilization VI - Poland Civilization & Scenario Pack,['win'/ 'mac'/ 'lin'],,$4.99 ,$3.34 ,31%,694,,
8Floor Complete Pack,['win'],,$204.61 ,$60.90 ,71%,692,,
Edna & Harvey: The Breakout,['win'],,$29.99 ,$8.99 ,82%,678,,
Rocket League® - Masamune,['win'/ 'mac'/ 'lin'],-50%,$1.99 ,$0.99 ,90%,671,,
Microcosmum: survival of cells  Bundle,['win'],-50%,,,77%,671,,
Windlands 1 and 2,['win'/ 'hmd'/ 'htc'/ 'ocu'/ 'win'],-50%,$49.98 ,$42.28 ,76%,669,,
Windlands 1 and 2 Deluxe Edition,['win'],-10%,$63.96 ,$54.86 ,76%,669,,
ARK: Survival Evolved Season Pass,['win'/ 'mac'/ 'lin'],-35%,$44.99 ,$29.24 ,72%,642,,
Civilization VI - Australia Civilization & Scenario Pack,['win'/ 'mac'/ 'lin'],-40%,$4.99 ,$3.34 ,40%,636,,
BVRgames/BVR游戏合集,['win'],-50%,$5.98 ,$3.94 ,80%,632,,
Best JRPGs Bundle,['win'/ 'mac'/ 'lin'],-50%,,,71%,632,,
SMITE® - Ultimate God Pack,['win'/ 'mac'],-67%,$29.99 ,$9.90 ,73%,590,,
Anna's Quest,['win'/ 'mac'/ 'lin'],,$19.99 ,$3.99 ,87%,580,,
HELLGATE: London,['win'],-25%,$12.99 ,$9.74 ,64%,575,,
BIT.TRIP BEAT,['win'/ 'mac'],-40%,$9.99 ,$0.99 ,83%,571,,
Disgaea 2 PC Digital Dood Edition / 魔界戦記ディスガイア2 PC デジタル限定版 (Game + Art Book),['win'/ 'mac'/ 'lin'],-20%,,,89%,567,,
Randal's Monday,['win'/ 'mac'],-66%,$29.99 ,$8.99 ,75%,548,,
河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),['win'],-10%,$17.99 ,$16.19 ,60%,493,,
FURIDASHI: Drift Cyber Sport - ULTIMATE VERSION,['win'],,$39.96 ,$26.07 ,80%,488,,
FURIDASHI: Drift Cyber Sport - Special Edition #2,['win'],-50%,$24.98 ,$17.82 ,80%,488,,
FURIDASHI: Drift Cyber Sport - DELUXE Edition,['win'],-50%,$34.97 ,$24.20 ,80%,487,,
The Last NightMary - A Lenda do Cabeça de Cuia,['win'/ 'mac'/ 'lin'],-40%,$4.99 ,$0.49 ,79%,476,,
Age of Fear Supporter Bundle,['win'/ 'mac'/ 'lin'],-10%,$79.93 ,$39.53 ,92%,464,,
Age of Fear Series Bundle (Complete),['win'/ 'mac'/ 'lin'],,$64.97 ,$29.17 ,92%,463,,
For Kids Studio Bundle,['win'/ 'mac'/ 'lin'],-25%,$53.73 ,$33.91 ,77%,463,,
